"game","company","relation"
9558,595,"developer"
9570,150,"publisher"
9570,150,"developer"
9584,168,"publisher"
9584,4296,"developer"
9608,776,"publisher"
9608,749,"developer"
9608,748,"developer"
9666,3280,"publisher"
9666,2745,"developer"
9697,506,"publisher"
9697,506,"developer"
9740,962,"publisher"
9740,3201,"developer"
9774,88,"publisher"
9774,1892,"developer"
9791,157,"publisher"
9791,7297,"publisher"
9791,157,"developer"
9804,1455,"publisher"
9804,3883,"developer"
9804,2695,"developer"
9825,1030,"publisher"
9825,985,"developer"
9825,288,"developer"
9847,666,"publisher"
9847,48,"publisher"
9847,4364,"developer"
9847,2331,"developer"
9871,1760,"publisher"
9871,1760,"developer"
9884,576,"publisher"
9884,428,"developer"
9884,2760,"developer"
9903,328,"publisher"
9903,2535,"developer"
9927,7420,"publisher"
9927,923,"developer"
9927,1562,"developer"
9976,1545,"publisher"
9976,4396,"developer"
10025,1210,"publisher"
10025,374,"publisher"
10025,1210,"developer"
10025,2014,"developer"
10069,4414,"publisher"
10069,1474,"developer"
10129,386,"publisher"
10129,82,"publisher"
10129,386,"developer"
10129,7863,"developer"
10147,3609,"publisher"
10147,176,"publisher"
10147,3609,"developer"
10164,15,"publisher"
10164,4432,"developer"
10215,3192,"publisher"
10215,3193,"developer"
10281,1194,"publisher"
10281,2737,"developer"
10343,432,"publisher"
10343,150,"publisher"
10343,2463,"developer"
10343,2194,"developer"
10473,548,"publisher"
10473,2890,"developer"
10473,1175,"developer"
10491,4496,"publisher"
10491,4497,"developer"
10580,687,"publisher"
10580,519,"developer"
10599,281,"publisher"
10599,448,"publisher"
10599,3231,"developer"
10637,580,"publisher"
10637,99,"publisher"
10637,98,"developer"
10710,864,"publisher"
10710,4107,"developer"
10710,1690,"developer"
10778,633,"publisher"
10778,332,"developer"
10810,77,"publisher"
10810,3027,"developer"
10834,150,"publisher"
10834,3064,"publisher"
10834,3385,"developer"
10863,1148,"publisher"
10863,970,"developer"
10863,1753,"developer"
10877,78,"publisher"
10877,955,"developer"
10899,778,"publisher"
10899,66,"publisher"
10899,778,"developer"
10901,805,"publisher"
10901,459,"publisher"
10901,459,"developer"
10913,620,"publisher"
10913,2053,"developer"
10943,10,"publisher"
10943,10,"developer"
10952,1152,"publisher"
10952,1792,"developer"
10991,62,"publisher"
10991,259,"developer"
11035,193,"publisher"
11035,1060,"publisher"
11035,4603,"developer"
11043,2838,"publisher"
11043,2838,"developer"
11059,658,"publisher"
11059,152,"developer"
11087,755,"publisher"
11087,1679,"publisher"
11087,754,"developer"
11087,2033,"developer"
11157,1331,"publisher"
11157,185,"publisher"
11157,224,"developer"
11157,1331,"developer"
11181,322,"publisher"
11181,924,"developer"
11186,554,"publisher"
11186,1746,"publisher"
11186,4164,"developer"
11186,700,"developer"
11218,48,"publisher"
11218,4637,"developer"
11244,2509,"publisher"
11244,10692,"publisher"
11244,1475,"developer"
11250,374,"publisher"
11250,559,"developer"
11338,2331,"publisher"
11338,505,"publisher"
11338,3047,"developer"
11353,1045,"publisher"
11353,1045,"developer"
11371,111,"publisher"
11371,185,"publisher"
11371,1542,"developer"
11371,959,"developer"
11406,4674,"publisher"
11415,224,"publisher"
11415,224,"developer"
11451,193,"publisher"
11451,193,"developer"
11468,473,"publisher"
11468,4688,"developer"
11485,1,"publisher"
11485,86,"publisher"
11485,2222,"developer"
11485,1703,"developer"
11533,193,"publisher"
11533,718,"publisher"
11533,193,"developer"
11574,1029,"publisher"
11574,15,"publisher"
11574,1740,"developer"
11645,1212,"publisher"
11645,1212,"developer"
11670,322,"publisher"
11670,360,"publisher"
11670,1800,"developer"
11670,10727,"developer"
11738,427,"publisher"
11738,1155,"developer"
11879,4776,"publisher"
11879,1679,"publisher"
11879,1680,"developer"
11903,87,"publisher"
11903,5860,"publisher"
11903,87,"developer"
11953,2053,"publisher"
11953,2053,"developer"
11971,4496,"publisher"
11971,4497,"developer"
11974,1192,"publisher"
11974,674,"developer"
11980,88,"publisher"
11980,176,"publisher"
11980,102,"developer"
11980,176,"developer"
12035,448,"publisher"
12035,873,"developer"
12055,4024,"publisher"
12055,4024,"developer"
12061,4808,"publisher"
12061,41,"publisher"
12061,4809,"developer"
12107,6398,"publisher"
12107,99,"developer"
12111,548,"publisher"
12111,1819,"developer"
12127,4826,"publisher"
12127,1444,"developer"
12127,4260,"developer"
12149,431,"publisher"
12149,2629,"publisher"
12149,2628,"developer"
12155,4835,"publisher"
12155,392,"publisher"
12155,4836,"developer"
12167,15,"publisher"
12167,808,"developer"
12167,7137,"developer"
12169,231,"publisher"
12169,231,"developer"
12169,1788,"developer"
12204,4849,"publisher"
12204,895,"publisher"
12204,135,"developer"
12273,67,"publisher"
12273,1638,"developer"
12292,662,"publisher"
12292,8185,"publisher"
12292,3379,"developer"
12301,2358,"publisher"
12301,754,"publisher"
12301,672,"developer"
12303,955,"publisher"
12303,3231,"developer"
12340,966,"publisher"
12340,2952,"developer"
12450,2273,"publisher"
12450,4059,"developer"
12463,67,"publisher"
12463,548,"publisher"
12463,67,"developer"
12516,373,"publisher"
12516,373,"developer"
12519,4024,"publisher"
12519,4024,"developer"
12520,78,"publisher"
12520,125,"developer"
12520,2378,"developer"
12584,4917,"publisher"
12584,559,"developer"
12586,200,"publisher"
12586,3834,"developer"
12594,395,"publisher"
12594,1565,"developer"
12688,78,"publisher"
12688,4937,"developer"
12731,2050,"publisher"
12731,2050,"developer"
12743,1029,"publisher"
12743,2794,"developer"
12749,353,"publisher"
12749,1673,"developer"
12815,682,"publisher"
12815,1800,"developer"
12815,10727,"developer"
12863,631,"publisher"
12863,631,"developer"
12894,404,"publisher"
12894,2128,"developer"
12919,150,"publisher"
12919,780,"publisher"
12919,1892,"developer"
12919,780,"developer"
12957,1605,"publisher"
12957,1,"publisher"
12957,1638,"developer"
12957,422,"developer"
12958,3365,"publisher"
12958,2500,"developer"
12958,923,"developer"
13017,224,"publisher"
13017,1210,"developer"
13031,78,"publisher"
13031,3064,"publisher"
13031,62,"developer"
13031,81,"developer"
13102,1760,"publisher"
13102,808,"developer"
13142,491,"publisher"
13142,225,"developer"
13183,922,"publisher"
13183,6399,"publisher"
13183,6577,"developer"
13190,3834,"publisher"
13190,3834,"developer"
13266,394,"publisher"
13282,687,"publisher"
13282,4432,"developer"
13307,691,"publisher"
13307,2240,"developer"
13338,1,"publisher"
13338,288,"developer"
13338,1838,"developer"
13382,96,"publisher"
13382,427,"publisher"
13382,1155,"developer"
13396,1,"publisher"
13396,449,"developer"
13396,3338,"developer"
13423,512,"publisher"
13423,512,"developer"
13427,15,"publisher"
13427,5085,"developer"
13427,1673,"developer"
13447,1131,"publisher"
13447,2500,"developer"
