"id","video","relation"
78,"https://www.youtube.com/embed/FzKWAqGLuHA","companies"
78,"https://www.youtube.com/embed/3H8gdDQuh10","companies"
78,"https://www.youtube.com/embed/BtM2QfvSDDo","companies"
78,"https://www.youtube.com/embed/TFT6duKC3do","companies"
78,"https://www.youtube.com/embed/eBc3QPRREDU","companies"
81,"https://www.youtube.com/embed/TUl4tSNV-Bo","companies"
81,"https://www.youtube.com/embed/z2Gr813zqr4","companies"
81,"https://www.youtube.com/embed/e5zQj4Vct_c","companies"
81,"https://www.youtube.com/embed/c0hCB28XW3k","companies"
81,"https://www.youtube.com/embed/xxRMQiGEizA","companies"
81,"https://www.youtube.com/embed/oKCzKNG3ulk","companies"
81,"https://www.youtube.com/embed/srZjEPGV2k0","companies"
81,"https://www.youtube.com/embed/UDqr3nvYd2c","companies"
81,"https://www.youtube.com/embed/ZmgMztIiFCQ","companies"
81,"https://www.youtube.com/embed/TNdGfrnQLVA","companies"
81,"https://www.youtube.com/embed/B2uGbMxe768","companies"
82,"https://www.youtube.com/embed/UZ5g_-kYCk8","companies"
82,"https://www.youtube.com/embed/8uk7eDICrEM","companies"
82,"https://www.youtube.com/embed/3_6HFK6Wlio","companies"
82,"https://www.youtube.com/embed/Jg2K1xnUGBo","companies"
82,"https://www.youtube.com/embed/SHFlD3RTPOk","companies"
82,"https://www.youtube.com/embed/yMopRaT_BLA","companies"
82,"https://www.youtube.com/embed/3_6HFK6Wlio","companies"
82,"https://www.youtube.com/embed/uoSU-bP1SdY","companies"
82,"https://www.youtube.com/embed/B54Sh3g11UI","companies"
82,"https://www.youtube.com/embed/g3sTSgKFswE","companies"
82,"https://www.youtube.com/embed/U0kA8iCbhfY","companies"
86,"https://www.youtube.com/embed/nq-PPJAVOTE","companies"
86,"https://www.youtube.com/embed/2pmES5YNFnY","companies"
86,"https://www.youtube.com/embed/ocrwdYNDPs4","companies"
86,"https://www.youtube.com/embed/fTWqlUA2DdY","companies"
86,"https://www.youtube.com/embed/MKpN2TAEXa0","companies"
86,"https://www.youtube.com/embed/AOU3Vjcq6aA","companies"
86,"https://www.youtube.com/embed/-QHKAxYdjkw","companies"
86,"https://www.youtube.com/embed/HlqDeeM4bzQ","companies"
